englishName,fourCode,sciName,sixCode
Horned Lark,HOLA,Eremophila alpestris,EREALP
Horned Puffin,HOPU,Fratercula corniculata,FRACOR
House Finch,HOFI,Haemorhous mexicanus,HAEMEX
House Sparrow,HOSP,Passer domesticus,PASDOM
House Wren,HOWR,Troglodytes aedon,TROAED
Hudsonian Godwit,HUGO,Limosa haemastica,LIMHAE
Humboldt's Sapphire,HUSA,Chrysuronia humboldtii,CHRHUM
Hutton's Vireo,HUVI,Vireo huttoni,VIRHUT
Hwamei,HWAM,Garrulax canorus,GARCAN
Iceland Gull,ICGU,Larus glaucoides,LARGLD
Iiwi,IIWI,Drepanis coccinea,DRECOC
Imperial Parrot,IMPA,Amazona imperialis,AMAIMP
Imperial Woodpecker,IMWO,Campephilus imperialis,CAMIMP
Inagua Woodstar,INWO,Nesophlox lyrura,NESLYR
Inca Dove,INDO,Columbina inca,COLINC
Inca Tern,INTE,Larosterna inca,LARINC
Indian Peafowl,INPE,Pavo cristatus,PAVCRI
Indian Silverbill,INSI,Euodice malabarica,EUOMAB
Indigo Bunting,INBU,Passerina cyanea,PASCYA
Intermediate Egret,INEG,Ardea intermedia,ARDINT
Ipswich Sparrow,IPSP,Passerculus sandwichensis princeps,PASSPR
Island Canary,ISCA,Serinus canaria,SERCAN
Island Scrub-Jay,ISSJ,Aphelocoma insularis,APHINS
Isthmian Wren,ISWR,Cantorchilus elutus,CANELU
Ivory Gull,IVGU,Pagophila eburnea,PAGEBU
Ivory-billed Woodcreeper,IBIW,Xiphorhynchus flavigaster,XIPFLA
Ivory-billed Woodpecker,IBWO,Campephilus principalis,CAMPRI
Jabiru,JABI,Jabiru mycteria,JABMYC
Jack Snipe,JASN,Lymnocryptes minimus,LYMMIN
Jamaican Becard,JABE,Pachyramphus niger,PACNIG
Jamaican Blackbird,JABL,Nesopsar nigerrimus,NESNIG
Jamaican Crow,JACR,Corvus jamaicensis,CORJAM
Jamaican Elaenia,JAEL,Myiopagis cotta,MYICOT
Jamaican Euphonia,JAEU,Euphonia jamaica,EUPJAM
Jamaican Lizard-Cuckoo,JALC,Coccyzus vetula,COCVET
Jamaican Mango,JAMA,Anthracothorax mango,ANTMAN
Jamaican Oriole,JAOR,Icterus leucopteryx,ICTLEU
Jamaican Owl,JAOW,Asio grammicus,ASIGRA
Jamaican Pauraque,JAPA,Siphonorhis americana,SIPAME
Jamaican Pewee,JAPE,Contopus pallidus,CONPAL
Jamaican Spindalis,JAMS,Spindalis nigricephala,SPINIG
Jamaican Tody,JATO,Todus todus,TODTOD
Jamaican Vireo,JAVI,Vireo modestus,VIRMOD
Jamaican Woodpecker,JAWO,Melanerpes radiolatus,MELRAD
Japanese Bush-Warbler,JABW,Horornis diphone,HORDIP
Japanese Quail,JAQU,Coturnix japonica,COTJAP
Java Sparrow,JASP,Padda oryzivora,PADORY
Jet Antbird,JEAN,Cercomacra nigricans,CERNIG
Jouanin's Petrel,JOPE,Bulweria fallax,BULFAL
Juan Fernandez Petrel,JFPE,Pterodroma externa,PTEEXT
Juniper Titmouse,JUTI,Baeolophus ridgwayi,BAERID
Kakawahie,KAKA,Paroreomyza flammea,PARFLA
Kalij Pheasant,KAPH,Lophura leucomelanos,LOPLEU
Kamao,KAMA,Myadestes myadestinus,MYAMYA
Kamchatka Leaf Warbler,KLWA,Phylloscopus examinandus,PHYEXA
Kauai Akialoa,KAAK,Akialoa stejnegeri,AKISTE
Kauai Amakihi,KAAM,Chlorodrepanis stejnegeri,CHLSTE
Kauai Elepaio,KAEL,Chasiempis sclateri,CHASCL
Kauai Nukupuu,KANU,Hemignathus hanapepe,HEMHAN
Kauai Oo,KAOO,Moho braccatus,MOHBRA
Keel-billed Motmot,KBMO,Electron carinatum,ELECAR
Keel-billed Toucan,KBTO,Ramphastos sulfuratus,RAMSUL
Kelp Gull,KEGU,Larus dominicanus,LARDOM
Kentucky Warbler,KEWA,Geothlypis formosa,GEOFOR
Kermadec Petrel,KEPE,Pterodroma neglecta,PTENEG
Key West Quail-Dove,KWQD,Geotrygon chrysia,GEOCHR
Killdeer,KILL,Charadrius vociferus,CHAVOC
King Eider,KIEI,Somateria spectabilis,SOMSPE
King Rail,KIRA,Rallus elegans,RALELE
King Vulture,KIVU,Sarcoramphus papa,SARPAP
Kioea,KIOE,Chaetoptila angustipluma,CHAANG
Kirtland's Warbler,KIWA,Setophaga kirtlandii,SETKIR
Kittlitz's Murrelet,KIMU,Brachyramphus brevirostris,BRABRE
Kona Grosbeak,KOGR,Chloridops kona,CHLKON
Kumlien's Gull,KUGU,Larus glaucoides kumleini,LARGKU
La Sagra's Flycatcher,LSFL,Myiarchus sagrae,MYISAG
La Selle Thrush,LSTH,Turdus swalesi,TURSWA
Labrador Duck,LABD,Camptorhynchus labradorius,CAMLAB
Ladder-backed Woodpecker,LBWO,Dryobates scalaris,DRYSCA
Lanai Hookbill,LANH,Dysmorodrepanis munroi,DYSMUN
Lance-tailed Manakin,LATM,Chiroxiphia lanceolata,CHILAN
Lanceolated Monklet,LAMO,Micromonacha lanceolata,MICLAN
Lanceolated Warbler,LANW,Locustella lanceolata,LOCLAN
Lapland Longspur,LALO,Calcarius lapponicus,CALLAP
Large Canada Goose,LCGO,Branta canadensis moffitti,BRACMO
Large-billed Seed-Finch,LBSF,Sporophila crassirostris,SPOCRA
Large-billed Sparrow,LBSP,Passerculus sandwichensis rostratus,PASSRO
Large-billed Tern,LBTE,Phaetusa simplex,PHASIM
Large-footed Finch,LFFI,Pezopetes capitalis,PEZCAP
Lark Bunting,LARB,Calamospiza melanocorys,CALMEC
Lark Sparrow,LASP,Chondestes grammacus,CHOGRA
Lattice-tailed Trogon,LTTR,Trogon clathratus,TROCLA
Laughing Falcon,LAFA,Herpetotheres cachinnans,HERCAC
Laughing Gull,LAGU,Leucophaeus atricilla,LEUATC
Lavender Waxbill,LAVW,Glaucestrilda caerulescens,GLACAE
Lawrence's Goldfinch,LAGO,Spinus lawrencei,SPILAW
Lawrence's Warbler,LAWA,Vermivora cyanoptera x chrysoptera,VERCCH
Laysan Albatross,LAAL,Phoebastria immutabilis,PHOIMM
Laysan Duck,LAYD,Anas laysanensis,ANALAY
Laysan Finch,LAFI,Telespiza cantans,TELCAN
Laysan Honeycreeper,LAYH,Himatione fraithii,HIMFRA
Laysan Rail,LARA,Zapornia palmeri,ZAPPAL
