englishName,fourCode,sciName,sixCode
Sage Thrasher,SATH,Oreoscoptes montanus,OREMON
Sagebrush Sparrow,SABS,Artemisiospiza nevadensis,ARTNEV
Saltmarsh Sparrow,SALS,Ammospiza caudacuta,AMMCAU
Salvin's Albatross,SAAL,Thalassarche salvini,THASAL
San Andres Vireo,SAVI,Vireo caribaeus,VIRCAB
San Blas Jay,SBJA,Cyanocorax sanblasianus,CYASAN
Sanderling,SAND,Calidris alba,CALALB
Sandhill Crane,SACR,Antigone canadensis,ANTCAN
Sandwich Tern,SATE,Thalasseus sandvicensis,THASAN
Sapayoa,SAPA,Sapayoa aenigma,SAPAEN
Sapphire-throated Hummingbird,SHTH,Chrysuronia coeruleogularis,CHYCOE
Savanna Hawk,SAHA,Buteogallus meridionalis,BUTMER
Savannah Sparrow,SAVS,Passerculus sandwichensis,PASSAN
Say's Phoebe,SAPH,Sayornis saya,SAYSAY
Scale-crested Pygmy-Tyrant,SCPT,Lophotriccus pileatus,LOPPIT
Scaled Antpitta,SCAA,Grallaria guatimalensis,GRAGUA
Scaled Pigeon,SCPI,Patagioenas speciosa,PATSPE
Scaled Quail,SCQU,Callipepla squamata,CALSQU
Scaly-breasted Hummingbird,SBRH,Phaeochroa cuvierii,PHACUV
Scaly-breasted Munia,SBMU,Lonchura punctulata,LONPUN
Scaly-breasted Thrasher,SBTH,Allenia fusca,ALLFUC
Scaly-breasted Wren,SCBW,Microcerculus marginatus,MICMAR
Scaly-naped Pigeon,SNPI,Patagioenas squamosa,PATSQU
Scaly-throated Foliage-gleaner,STFG,Anabacerthia variegaticeps,ANAVAR
Scaly-throated Leaftosser,STLE,Sclerurus guatemalensis,SCLGUA
Scarlet Ibis,SCIB,Eudocimus ruber,EUDRUB
Scarlet Macaw,SCMA,Ara macao,ARAMAC
Scarlet Tanager,SCTA,Piranga olivacea,PIROLI
Scarlet-browed Tanager,SBTA,Heterospingus xanthopygius,HETXAN
Scarlet-rumped Cacique,SRCA,Cacicus uropygialis,CACURO
